ANO_APLICACAO;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;TP_VERSAO_DIGITAL;TP_APLICACAO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
2012;150;MT;10783;A;1;0;;1314;1706;187;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;O sistema de numeração romana, hoje em desuso, já foi o principal sistema de numeração da Europa. Nos dias atuais, a numeração romana é usada no nosso cotidiano essencialmente para designar os séculos, mas já foi necessário fazer contas e descrever números bastante grandes nesse sistema de numeração. Para isto, os romanos colocavam um traço sobre o número para representar que esse número deveria ser multiplicado por 1 000. Por exemplo, o número X representa o número 10 \times 1 000, ou seja, 10 000. De acordo com essas informações, os números MCCV e XLIII são, respectivamente, iguais aW;1 205 000 e 43 000.;1 205 000 e 63 000.;1 205 000 e 493 000.;1 250 000 e 43 000.;1 250 000 e 63 000.;0
2012;151;MT;9593;C;5;0;;3471;1875;171;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Alguns países têm regulamentos que obrigam a misturar 5%, 10% ou 20% de etanol com a gasolina regular. Esta mistura recebe o nome de gasool. E20, por exemplo, é o gasool que contém a mistura de 20% de etanol com 80% de gasolina. Em agosto de 2011, o governo decidiu reduzir a mistura de etanol na gasolina de 25% para 20%, isto é, nossos postos de gasolina, a partir daquele mês, não puderam mais vender o combustível do tipo E25. Disponível em: http://g1.globo.com (adaptado). Uma distribuidora possuía 40 mil litros de combustível do tipo E25, disponíveis em um dos tanques de seu estoque antigo. Quantos litros de gasolina precisam ser adicionados de modo a obter uma mistura E20?;32 000;16 000;10 000;8 000;2 000;0
2012;152;MT;5977;B;21;0;;2361;2031;116;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;O apresentador de um programa de auditório propôs aos participantes de uma competição a seguinte tarefa: cada participante teria 10 minutos para recolher moedas douradas colocadas aleatoriamente em um terreno destinado à realização da competição. A pontuação dos competidores seria calculada ao final do tempo destinado a cada um dos participantes, no qual as moedas coletadas por eles seriam contadas e a pontuação de cada um seria calculada, subtraindo do número de moedas coletadas uma porcentagem de valor igual ao número de moedas coletadas. Dessa forma, um participante que coletasse 60 moedas teria sua pontuação calculada da seguinte forma: pontuação = 60 – 36 (60% de 60) = 24. O vencedor da prova seria o participante que alcançasse a maior pontuação. Qual será o limite máximo de pontos que um competidor pode alcançar nessa prova?;0;25;50;75;100;0
2012;152;MT;11343;D;12;0;;1797;1306;0.12;AMARELA;149;;;;REGULAR;caderno_enem2012_dom_amarelo.pdf;"A capacidade mínima, em BTU/h, de um aparelho de ar-condicionado, para ambientes sem exposição ao sol, pode ser determinada da seguinte forma: \bullet 600 BTU/h por m^{2}, considerando-se até duas pessoas no ambiente; \bullet para cada pessoa adicional nesse ambiente, acrescentar 600 BTU/h; \bullet acrescentar mais 600 BTU/h para cada equipamento eletroeletrônico em funcionamento no ambiente. Será instalado um aparelho de ar-condicionado em uma sala, sem exposição ao sol, de dimensões 4 m x 5 m, em que permaneçam quatro pessoas e possua um aparelho de televisão em funcionamento. A capacidade mínima, em BTU/h, desse aparelho de ar- condicionado deve ser";12 000.;12 600.;13 200.;13 800.;15 000.;0
2012;154;MT;15479;A;14;0;;1943;2112;109;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Em um terreno, deseja-se instalar uma piscina com formato de um bloco retangular de altura 1 m e base de dimensões 20 m x 10 m. Nas faces laterais e no fundo desta piscina será aplicado um líquido para a impermeabilização. Esse líquido deve ser aplicado na razão de 1 L para cada 1 m^{2} de área a ser impermeabilizada. O fornecedor A vende cada lata de impermeabilizante de 10 L por R$ 100,00, e o B vende cada lata de 15 L por R$ 145,00. Determine a quantidade de latas de impermeabilizante que deve ser comprada e o fornecedor a ser escolhido, de modo a se obter o menor custo.;Fabricante A, 26 latas.;Fabricante A, 46 latas.;Fabricante B, 17 latas.;Fabricante B, 18 latas.;Fabricante B, 31 latas.;0
2012;155;MT;8489;C;15;0;;1423;2168;123;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;"O Índice de Desenvolvimento Humano (IDH) mede a qualidade de vida dos países para além dos indicadores econômicos. O IDH do Brasil tem crescido ano a ano e atingiu os seguintes patamares: 0,600 em 1990; 0,665 em 2000; 0,715 em 2010. Quanto mais perto de 1,00, maior é o desenvolvimento do país. O Globo. Caderno Economia, 3 nov. 2011 (adaptado). Observando o comportamento do IDH nos períodos citados, constata-se que, ao longo do período 1990-2010, o IDH brasileiro";diminuiu com variações decenais crescentes.;diminuiu em proporção direta com o tempo.;aumentou com variações decenais decrescentes.;aumentou em proporção direta com o tempo.;aumentou em proporção inversa com o tempo.;0
2012;156;MT;8813;C;9;0;;2139;2.31;234;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Vítor deseja revestir uma sala retangular de dimensões 3 m x 4 m, usando um tipo de peça de cerâmica. Em uma pesquisa inicial, ele selecionou cinco tipos de peças disponíveis, nos seguintes formatos e dimensões: \bullet Tipo I: quadrados, com 0,5 m de lado. \bullet Tipo II: triângulos equiláteros, com 0,5 m de lado. \bullet Tipo III: retângulos, com dimensões 0,5 m x 0,6 m. \bullet Tipo IV: triângulos retângulos isósceles, cujos catetos medem 0,5 m. \bullet Tipo V: quadrados, com 0,6 m de lado. Analisando a pesquisa, o mestre de obras recomendou que Vítor escolhesse um tipo de piso que possibilitasse a utilização do menor número de peças e não acarretasse sobreposições ou cortes nas cerâmicas. Qual o tipo de piso o mestre de obras recomendou que fosse comprado?;Tipo I.;Tipo II.;Tipo III.;Tipo IV.;Tipo V.;0
2012;159;MT;8455;B;13;0;;2606;2804;222;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Uma prefeitura possui modelos de lixeira de forma cilíndrica, sem tampa, com raio medindo 10 cm e altura de 50 cm. Para fazer uma compra adicional, solicita à empresa fabricante um orçamento de novas lixeiras, com a mesma forma e outras dimensões. A prefeitura só irá adquirir as novas lixeiras se a capacidade de cada uma for no mínimo dez vezes maior que o modelo atual e seu custo unitário não ultrapassar R$ 20,00. O custo de cada lixeira é proporcional à sua área total e o preço do material utilizado na sua fabricação é de R$ 0,20 para cada 100 cm^{2}. A empresa apresenta um orçamento discriminando o custo unitário e as dimensões, com o raio sendo o triplo do anterior e a altura aumentada em 10 cm. (Aproxime \pi para 3.) O orçamento dessa empresa é rejeitado pela prefeitura, pois;o custo de cada lixeira ficou em R$ 21,60.;o custo de cada lixeira ficou em R$ 27,00.;o custo de cada lixeira ficou em R$ 32,40.;a capacidade de cada lixeira ficou 3 vezes maior.;capacidade de cada lixeira ficou 9 vezes maior.;0
2012;163;MT;7412;B;10;0;;2649;2079;197;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;No mês de setembro de 2011, a Petrobras atingiu a produção diária de 129 mil barris de petróleo na área do pré-sal no Brasil. O volume de um barril de petróleo corresponde a 159 litros. Disponível em: http://veja.abril.com.br. Acesso em: 20 nov. 2011 (adaptado). De acordo com essas informações, em setembro de 2011, a produção diária, em m^{3}, atingida pela Petrobras na área do pré-sal no Brasil foi de;20,511.;20 511.;205 110.;2 051 100.;20 511 000.;0
2012;164;MT;5844;C;29;0;;3423;2051;153;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Uma aluna registrou as notas de matemática obtidas nos 3 primeiros bimestres do ano letivo e seus respectivos pesos no quadro a seguir. Bimestre Nota Peso 1 2,5 1 2 5,8 2 3 7,4 3 Ela ainda não sabe qual será sua nota de matemática no quarto bimestre, mas sabe que o peso dessa nota na média final é 4. As notas variam de zero a dez, sendo permitida apenas uma casa na parte decimal (caso contrário a nota será arredondada, usando como critério “se o algarismo da segunda casa decimal é maior ou igual a 5, então o algarismo na primeira casa decimal será acrescido de uma unidade”). A média final mínima para aprovação na escola dessa aluna é 7. Se ela obtiver média final inferior a 7, precisará realizar uma outra prova que substitua a menor das notas bimestrais, de modo a alcançar a média 7 (mantidos os mesmos pesos anteriores). Se essa aluna precisar realizar uma prova para substituir a nota que obteve no primeiro bimestre, e tal nota precisar ser igual a 4,8, é porque a nota que ela obteve no quarto bimestre foi;2,3.;7,3.;7,9.;9,2.;10,0.;0
2012;165;MT;18391;C;22;0;;2382;2896;223;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;"Nas empresas em geral, são utilizados dois tipos de copos plásticos descartáveis, ambos com a forma de troncos de cones circulares retos: \bullet copos pequenos, para a ingestão de café: raios das bases iguais a 2,4 cm e 1,8 cm e altura igual a 3,6 cm; \bullet copos grandes, para a ingestão de água: raios das bases iguais a 3,6 cm e 2,4 cm e altura igual a 8,0 cm. Uma dessas empresas resolve substituir os dois modelos de copos descartáveis, fornecendo para cada um de seus funcionários canecas com a forma de um cilindro circular reto de altura igual a 6 cm e raio da base de comprimento igual a y centímetros. Tais canecas serão usadas tanto para beber café como para beber água. Sabe-se que o volume de um tronco de cone circular reto, cujos raios das bases são respectivamente iguais a R e r e a altura é h, é dado pela expressão: V = \pih (R^{2} + r^{2} + Rr) O raio y da base dessas canecas deve ser tal que y^{2} seja, no mínimo, igual a";2,664 cm.;7,412 cm.;12,160 cm.;14,824 cm.;19,840 cm.;0
2012;169;MT;8466;A;19;0;;1642;1448;166;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;O governo de um país criou o Fundo da Soja e do Milho, que tem como expectativa inicial arrecadar, por ano, R$ 36,14 milhões para investimento em pesquisas relacionadas aos principais produtos da agricultura. Com isso, a cada operação de venda, seriam destinados ao Fundo R$ 0,28 por tonelada de soja e R$ 0,22 por tonelada de milho comercializadas. Para este ano, espera-se que as quantidades de toneladas produzidas, de soja e de milho, juntas, seja 150,5 milhões. Foi pedido a cinco funcionários do Fundo, André, Bruno, Caio, Douglas e Eduardo, que apresentassem um sistema que modelasse os dados apresentados. Cada funcionário apresentou um sistema diferente, considerando x e y como as quantidades de toneladas comercializadas, respectivamente, de soja e de milho. O resultado foi o seguinte: {^{x}0,28^{+ y}x^{ = 150 500 000} + 0,22y = 36 140 $000^{Douglas}${^{x}0,28^{+ y}x^{ = 150,5} + 0,22y = 36,14 {^{100 000 000}0,28x + 0,22y^{x} = 36 140 $000^{+ 100 000 000 y = 150,5 Eduardo}${^{x}0,28^{+ y}x^{ = 150 500 000} + 0,22y = 36,14 {^{x}0,28^{+ y}x^{ = 150,5} + 0,22y = 36 140 000 O funcionário que fez a modelagem correta foi;André.;Bruno.;Caio.;Douglas.;Eduardo.;0
2012;170;MT;11147;D;19;0;;3042;1368;136;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Os procedimentos de decolagem e pouso de uma aeronave são os momentos mais críticos de operação, necessitando de concentração total da tripulação e da torre de controle dos aeroportos. Segundo levantamento da Boeing, realizado em 2009, grande parte dos acidentes aéreos com vítimas ocorre após iniciar-se a fase de descida da aeronave. Desta forma, é essencial para os procedimentos adequados de segurança monitorar-se o tempo de descida da aeronave. A tabela mostra a altitude y de uma aeronave, registrada pela torre de controle, t minutos após o início dos procedimentos de pouso. tempo t 0 5 10 15 20 (em minutos) altitude y 10 000 8 000 6 000 4 000 2 000 (em metros) Considere que, durante todo o procedimento de pouso, a relação entre y e t é linear. Disponível em: www.meioaereo.com. De acordo com os dados apresentados, a relação entre y e t é dada por;y = – 400 t;y = – 2 000 t;y = 8 000 – 400 t;y = 10 000 – 400 t;y = 10 000 – 2 000 t;0
2012;173;MT;8398;A;12;0;;1847;1775;174;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Uma família deseja realizar um jantar comemorativo de um casamento e dispõe para isso de um salão de festas de um clube, onde a área disponível para acomodação das mesas é de 500 m^{2}. As 100 mesas existentes no salão encontram-se normalmente agrupadas duas a duas, comportando 6 cadeiras. A área de cada mesa é de 1 m^{2} e o espaço necessário em torno deste agrupamento, para acomodação das cadeiras e para circulação, é de 6 m^{2}. As mesas podem ser dispostas de maneira isolada, comportando 4 pessoas cada. Nessa situação, o espaço necessário para acomodação das cadeiras e para circulação é de 4 m^{2}. O número de convidados previsto para o evento é de 400 pessoas. Para poder acomodar todos os convidados sentados, com as mesas existentes e dentro da área disponível para acomodação das mesas e cadeiras, como deverão ser organizadas as mesas?;Todas deverão ser separadas.;Todas mantidas no agrupamento original de duas mesas.;Um terço das mesas separadas e dois terços agrupadas duas a duas.;Um quarto das mesas separadas e o restante em agrupamento de duas a duas.;Sessenta por cento das mesas separadas e quarenta por cento agrupadas duas a duas.;0
2012;174;MT;9321;C;16;0;;3072;909;88;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;"Uma loja resolveu fazer uma promoção de um determinado produto que custava R$ 100,00 em fevereiro, da seguinte maneira: em março, ela deu um desconto de 10% sobre o preço do produto em fevereiro; em abril, deu mais 10% de desconto sobre o preço do produto em março. Tendo obtido uma venda substancial, a loja resolveu aumentar o preço do produto da seguinte maneira: em maio, a loja aumentou em 10% o preço de abril e, em junho, a loja aumentou em mais 10% o preço de maio. Desta forma, o preço deste produto, no final de junho, era";R$ 100,00.;R$ 99,00.;R$ 98,01.;R$ 97,20.;R$ 96,00.;0
2012;175;MT;9349;D;17;0;;2021;757;149;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Pensando em desenvolver atividade física e reduzir gasto com energia elétrica em sua residência, uma pessoa resolveu instalar uma bomba d’água acoplada a uma bicicleta ergométrica. Após alguns dias de atividade física, ela observou que, pedalando durante uma hora, o volume médio de água bombeada para o seu reservatório era de 500 litros. Esta pessoa observou, ainda, que o consumo diário em sua casa é de 550 litros de água. Qual a atitude, em relação ao tempo de exercício diário, essa pessoa deve tomar para suprir exatamente o consumo diário de água da sua casa?;Reduzir o seu tempo diário de exercício na bicicleta em 6 minutos.;Reduzir o seu tempo diário de exercício na bicicleta em 10 minutos.;Aumentar o seu tempo diário de exercício na bicicleta em 5 minutos.;Aumentar o seu tempo diário de exercício na bicicleta em 6 minutos.;Aumentar o seu tempo diário de exercício na bicicleta em 10 minutos.;0
2012;176;MT;9595;C;1;0;;1903;648;227;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;"Parece que foi ontem. Há 4,57 bilhões de anos, uma gigantesca nuvem de partículas entrou em colapso e formou o nosso Sistema Solar. Demoraram míseros 28 milhões de anos — um piscar de olhos em termos geológicos — para que a Terra surgisse. Isso aconteceu há 4,54 bilhões de anos. No começo, a superfície do planeta era mole e muito quente, da ordem de 1 200 ^\circC. Não demorou tanto assim para a crosta ficar mais fria e surgirem os mares e a terra; isso aconteceu há 4,2 bilhões de anos. História da Terra. Superinteressante, nov. 2011 (adaptado). O nosso Sistema Solar se formou, em anos, há";4 570.;4 570 000.;4 570 000 000.;4 570 000 000 000.;4 570 000 000 000 000.;0
2012;177;MT;9635;D;4;0;;2106;582;139;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;O Índice de Massa Corporal, abreviadamente IMC, é uma medida internacional adotada pela Organização Mundial de Saúde (OMS) para indicar se uma pessoa está com “peso” excessivo para sua altura. O cálculo do IMC é dado pela fórmula IMC = \frac{m}{h^{2}} , sendo m a massa da pessoa, medida em kg, e h a sua altura, em metros. Os valores da tabela foram ligeiramente adaptados com relação aos adotados pela OMS, para simplicidade nos cálculos. Valor do IMC Classificação IMC < 19 Abaixo do Peso 19 \le IMC< 25 Peso Normal 25 \le IMC< 30 Sobrepeso 30 \le IMC< 40 Obesidade do tipo I IMC \ge 40 Obesidade Mórbida Assim, segundo a OMS, um indivíduo de 2,10 metros de altura que pesa 80 kg tem IMC inferior a 19, sendo classificado como “abaixo do peso”. Se um indivíduo de 144 kg e 2 metros de altura perder 64 kg numa dieta, então este indivíduo migrará da classe;obesidade mórbida para a classe abaixo do peso.;obesidade mórbida para a classe peso normal.;obesidade do tipo 1 para a classe abaixo do peso.;obesidade do tipo 1 para a classe peso normal.;sobrepeso para a classe peso normal.;0
2012;178;MT;8195;B;16;0;;1862;496;238;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;Um pintor dispõe de 35 litros de tinta vermelha e de 30 litros de tinta branca. Ele deseja misturar essas tintas na proporção de 5 litros de tinta vermelha para cada 3 litros de tinta branca para obter um tom de tinta mais claro. Para obter o maior volume possível de tinta misturada, ele deverá utilizar toda a tinta disponível de uma das cores e sobrará uma certa quantidade de tinta da outra cor. Quantos litros de tinta sobrarão sem serem misturados?;5.;9.;12.;14.;17.;0
2012;179;MT;7475;E;15;0;;1768;3;217;CINZA;156;;;;REAPLICACAO_PPL;caderno_enem2012_dom_cinza_p2.pdf;No ano de 2010 o DataSenado realizou uma pesquisa intitulada “Condições de vida das pessoas com deficiência no Brasil”. A pesquisa ouviu 1 165 pessoas com deficiência e uma das questões foi a seguinte: “Para você, nos últimos anos, o preconceito em relação às pessoas com deficiência está igual, aumentando ou diminuindo?”. A porcentagem das respostas a esta pergunta é mostrada na tabela a seguir. Igual Aumentando Diminuindo 31% 10% 59% Disponível em: www.ibdd.org.br. Acesso em: 20 nov. 2011. Pelos dados contidos na tabela, o número que mais se aproxima da quantidade de pessoas que responderam “diminuindo” é;69.;116.;361.;687.;1 106.;0
2013;179;MT;38212;D;26;0;;1.02037;2.70479;0.0547;AMARELO;179;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;O índice de eficiência utilizado por um produtor de leite para qualificar suas vacas é dado pelo produto do tempo de lactação (em dias) pela produção média diária de leite (em kg), dividido pelo intervalo entre partos (em meses). Para esse produtor, a vaca é qualificada como eficiente quando esse índice é, no mínimo, 281 quilogramas por mês, mantendo sempre as mesmas condições de manejo (alimentação, vacinação e outros). Na comparação de duas ou mais vacas, a mais eficiente é a que tem maior índice. A tabela apresenta os dados coletados de cinco vacas: Dados relativos à produção das vacas Tempo de Produção média Intervalo Vaca lactação diária de leite entre partos (em dias) (em kg) (em meses) Malhada 12,0 $\frac{360}{310} \frac{15}{12}$ Mamona 11,0 Maravilha 14,0 $\frac{260}{310} \frac{12}{13}$ Mateira 13,0 Mimosa 270 12,0 11 Após a análise dos dados, o produtor avaliou que a vaca mais eficiente é a;Malhada.;Mamona.;Maravilha.;Mateira.;Mimosa.;0
2013;140;MT;51219;A;1;0;;2.23485;0.30828;0.20321;AMARELO;179;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Em um certo teatro, as poltronas são divididas em setores. A figura apresenta a vista do setor 3 desse teatro, no qual as cadeiras escuras estão reservadas e as claras não foram vendidas. S E T O R A razão que representa a quantidade de cadeiras reservadas do setor 3 em relação ao total de cadeiras desse mesmo setor é;70;53;70;17;17;0
2015;180;MT;14712;C;28;0;;1.06024;-0.23853;0.20527;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Em uma central de atendimento, cem pessoas receberam senhas numeradas de 1 até 100. Uma das senhas é sorteada ao acaso. Qual é a probabilidade de a senha sorteada ser um número de 1 a 20?;$\frac{1}{100}$;$\frac{19}{100}$;$\frac{20}{100}$;$\frac{21}{100}$;$\frac{80}{100}$;0
2015;146;MT;15876;E;5;0;;1.74749;2.59319;0.14249;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Um arquiteto está reformando uma casa. De modo a contribuir com o meio ambiente, decide reaproveitar tábuas de madeira retiradas da casa. Ele dispõe de 40 tábuas de 540 cm, 30 de 810 cm e 10 de 1 080 cm, todas de mesma largura e espessura. Ele pediu a um carpinteiro que cortasse as tábuas em pedaços de mesmo comprimento, sem deixar sobras, e de modo que as novas peças ficassem com o maior tamanho possível, mas de comprimento menor que 2 m. Atendendo o pedido do arquiteto, o carpinteiro deverá produzir;105 peças.;120 peças.;210 peças.;243 peças.;420 peças.;0
2015;149;MT;15890;D;28;0;;3.41203;3.8793;0.05419;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Em uma escola, a probabilidade de um aluno compreender e falar inglês é de 30%. Três alunos dessa escola, que estão em fase final de seleção de intercâmbio, aguardam, em uma sala, serem chamados para uma entrevista. Mas, ao invés de chamá-los um a um, o entrevistador entra na sala e faz, oralmente, uma pergunta em inglês que pode ser respondida por qualquer um dos alunos. A probabilidade de o entrevistador ser entendido e ter sua pergunta oralmente respondida em inglês é;23,7%;30,0%;44,1%;65,7%;90,0%;0
2015;159;MT;27281;E;19;0;;2.81962;1.8236;0.11266;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;O acréscimo de tecnologias no sistema produtivo industrial tem por objetivo reduzir custos e aumentar a produtividade. No primeiro ano de funcionamento, uma indústria fabricou 8 000 unidades de um determinado produto. No ano seguinte, investiu em tecnologia adquirindo novas máquinas e aumentou a produção em 50%. Estima-se que esse aumento percentual se repita nos próximos anos, garantindo um crescimento anual de 50%. Considere P a quantidade anual de produtos fabricados no ano t de funcionamento da indústria. Se a estimativa for alcançada, qual é a expressão que determina o número de unidades produzidas P em função de t, para t t1?;$P(t) = 0,5 · t^{- 1} + 8 000$;$P(t) = 50 · t^{- 1} + 8 000$;$P(t) = 4 000 · t^{- 1} + 8 000$;$P(t) = 8 000 · (0,5)^{t -   1}$;$P(t) = 8 000 · (1,5) ^{t -   1}$;0
2015;163;MT;28637;C;14;0;;2.89731;1.93082;0.19951;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Para resolver o problema de abastecimento de água foi decidida, numa reunião do condomínio, a construção de uma nova cisterna. A cisterna atual tem formato cilíndrico, com 3 m de altura e 2 m de diâmetro, e estimou-se que a nova cisterna deverá comportar 81 m^{3} de água, mantendo o formato cilíndrico e a altura da atual. Após a inauguração da nova cisterna a antiga será desativada. Utilize 3,0 como aproximação para \pi. Qual deve ser o aumento, em metros, no raio da cisterna para atingir o volume desejado?;0,5;1;2;3,5;8;0
2015;156;MT;28646;C;7;0;;1.98262;2.01086;0.12481;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Para o modelo de um troféu foi escolhido um poliedro P, obtido a partir de cortes nos vértices de um cubo. Com um corte plano em cada um dos cantos do cubo, retira-se o canto, que é um tetraedro de arestas menores do que metade da aresta do cubo. Cada face do poliedro P, então, é pintada usando uma cor distinta das demais faces. Com base nas informações, qual é a quantidade de cores que serão utilizadas na pintura das faces do troféu?;6;8;14;24;30;0
2015;160;MT;28651;D;27;0;;1.62208;1.72592;0.10767;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Em uma seletiva para a final dos 100 metros livres de natação, numa olimpíada, os atletas, em suas respectivas raias, obtiveram os seguintes tempos: Raia 1 2 3 4 5 6 7 8 Tempo 20,90 20,90 20,50 20,80 20,60 20,60 20,90 20,96 (segundo) A mediana dos tempos apresentados no quadro é;20,70.;20,77.;20,80.;20,85.;20,90.;0
2015;153;MT;28904;C;10;0;;2.52928;2.33098;0.19899;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;As exportações de soja do Brasil totalizaram 4,129 milhões de toneladas no mês de julho de 2012, e registraram um aumento em relação ao mês de julho de 2011, embora tenha havido uma baixa em relação ao mês de maio de 2012. Disponível em: www.noticiasagricolas.com.br. Acesso em: 2 ago. 2012. A quantidade, em quilogramas, de soja exportada pelo Brasil no mês de julho de 2012 foi de;$4,129 \times 10^{3}$;$4,129 \times 10^{6}$;$4,129 \times 10^{9}$;$4,129 \times 10^{12}$;$4,129 \times 10^{15}$;0
2015;155;MT;29359;E;3;0;;1.16472;3.02993;0.1036;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Segundo dados apurados no Censo 2010, para uma população de 101,8 milhões de brasileiros com 10 anos ou mais de idade e que teve algum tipo de rendimento em 2010, a renda média mensal apurada foi de R$ 1 202,00. A soma dos rendimentos mensais dos 10% mais pobres correspondeu a apenas 1,1% do total de rendimentos dessa população considerada, enquanto que a soma dos rendimentos mensais dos 10% mais ricos correspondeu a 44,5% desse total. Disponível em: www.estadao.com.br. Acesso em: 16 nov. 2011(adaptado). Qual foi a diferença, em reais, entre a renda média mensal de um brasileiro que estava na faixa dos 10% mais ricos e de um brasileiro que estava na faixa dos 10% mais pobres?;240,4;548,11;1 723,67;4 026,70;5 216,68;0
2015;152;MT;30755;D;3;0;;0.87277;2.82511;0.21108;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;Um casal realiza um financiamento imobiliário de R$ 180 000,00, a ser pago em 360 prestações mensais, com taxa de juros efetiva de 1% ao mês. A primeira prestação é paga um mês após a liberação dos recursos e o valor da prestação mensal é de R$ 500,00 mais juro de 1% sobre o saldo devedor (valor devido antes do pagamento). Observe que, a cada pagamento, o saldo devedor se reduz em R$ 500,00 e considere que não há prestação em atraso. Efetuando o pagamento dessa forma, o valor, em reais, a ser pago ao banco na décima prestação é de;2 075,00.;2 093,00.;2 138,00.;2 255,00.;2 300,00.;0
2015;167;MT;33076;D;12;0;;1.18579;2.81649;0.17915;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;O índice pluviométrico é utilizado para mensurar a precipitação da água da chuva, em milímetros, em determinado período de tempo. Seu cálculo é feito de acordo com o nível de água da chuva acumulada em 1 mð, ou seja, se o índice for de 10 mm, significa que a altura do nível de água acumulada em um tanque aberto, em formato de um cubo com 1 m^2 de área de base, é de 10 mm. Em uma região, após um forte temporal, verificou-se que a quantidade de chuva acumulada em uma lata de formato cilíndrico, com raio 300 mm e altura 1 200 mm, era de um terço da sua capacidade. Utilize 3,0 como aproximação para \pi. O índice pluviométrico da região, durante o período do temporal, em milímetros, é de;10,8.;12,0.;32,4.;108,0.;324,0.;0
2015;162;MT;37274;C;4;0;;1.74587;2.17499;0.30318;Amarelo;243;;0;;REGULAR;Caderno5_Amarelo_Dom.pdf;"O gerente de um cinema fornece anualmente ingressos gratuitos para escolas. Este ano serão distribuídos 400 ingressos para uma sessão vespertina e 320 ingressos para uma sessão noturna de um mesmo filme. Várias escolas podem ser escolhidas para receberem ingressos. Há alguns critérios para a distribuição dos ingressos: 1) cada escola deverá receber ingressos para uma única sessão; 2) todas as escolas contempladas deverão receber o mesmo número de ingressos; 3) não haverá sobra de ingressos (ou seja, todos os ingressos serão distribuídos). O número mínimo de escolas que podem ser escolhidas para obter ingressos, segundo os critérios estabelecidos, é";2.;4.;9.;40.;80.;0
